track_name,artist(s)_name,artist_count,streams
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,141381703
LALA,Myke Towers,1,133716286
vampire,Olivia Rodrigo,1,140003974
Cruel Summer,Taylor Swift,1,800840817
WHERE SHE GOES,Bad Bunny,1,303236322
Sprinter,"Dave, Central Cee",2,183706234
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,725980112
Columbia,Quevedo,1,58149378
fukumean,Gunna,1,95217315
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,553634067
un x100to,"Bad Bunny, Grupo Frontera",2,505671438
Super Shy,NewJeans,1,58255150
Flowers,Miley Cyrus,1,1316855716
Daylight,David Kushner,1,387570742
As It Was,Harry Styles,1,2513188493
Kill Bill,SZA,1,1163093654
Cupid - Twin Ver.,Fifty Fifty,1,496795686
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,30546883
Classy 101,"Feid, Young Miko",2,335222234
Like Crazy,Jimin,1,363369738
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,86444842
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,52135248
I Wanna Be Yours,Arctic Monkeys,1,1297026226
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,200647221
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,115364561
SABOR FRESA,Fuerza Regida,1,78300654
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,899183384
MOJABI GHOST,"Tainy, Bad Bunny",2,61245289
Last Night,Morgan Wallen,1,429829812
Dance The Night (From Barbie The Album),Dua Lipa,1,127408954
Rush,Troye Sivan,1,22581161
TULUM,"Peso Pluma, Grupo Frontera",2,52294266
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,843957510
Anti-Hero,Taylor Swift,1,999748277
TQG,"Karol G, Shakira",2,618990393
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,123122413
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,188933502
Blank Space,Taylor Swift,1,1355959075
Style,Taylor Swift,1,786181836
TQM,Fuerza Regida,1,176553476
El Azul,"Junior H, Peso Pluma",2,354495408
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2808096550
I'm Good (Blue),"Bebe Rexha, David Guetta",2,1109433169
See You Again,"Tyler, The Creator, Kali Uchis",3,1047101291
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,65156199
Angels Like You,Miley Cyrus,1,570515054
I Ain't Worried,OneRepublic,1,1085685420
Die For You,The Weeknd,1,1647990401
Starboy,"The Weeknd, Daft Punk",2,2565529693
Die For You - Remix,"Ariana Grande, The Weeknd",2,518745108
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,107753850
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,177740666
AMARGURA,Karol G,1,153372011
(It Goes Like) Nanana - Edit,Peggy Gou,1,57876440
Another Love,Tom Odell,1,1813673666
Blinding Lights,The Weeknd,1,3703895074
Moonlight,Kali Uchis,1,256483385
La Bachata,Manuel Turizo,1,1214083358
S91,Karol G,1,16011326
cardigan,Taylor Swift,1,812019557
Tï¿½ï¿,"dennis, MC Kevin o Chris",2,111947664
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,156338624
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,720434240
BESO,"Rauw Alejandro, ROSALï¿½",2,357925728
Hey Mor,"Ozuna, Feid",2,674072710
Yellow,Chris Molitor,1,1755214421
Karma,Taylor Swift,1,404562836
People,Libianca,1,373199958
Overdrive,Post Malone,1,14780425
Enchanted (Taylor's Version),Taylor Swift,1,39578178
BABY HELLO,"Rauw Alejandro, Bizarrap",2,54266102
Heat Waves,Glass Animals,1,2557975762
golden hour,JVKE,1,751134527
Sweater Weather,The Neighbourhood,1,2282771485
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,1356565093
Viva La Vida,Coldplay,1,1592909789
Here With Me,d4vd,1,635412045
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,1230675890
Yandel 150,"Yandel, Feid",2,585695368
CORAZï¿½ï¿½N VA,Maria Becerra,1,43857627
Riptide,Vance Joy,1,2009094673
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,600976848
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,39709092
Back To December (Taylor's Version),Taylor Swift,1,39228929
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2665343922
El Merengue,"Marshmello, Manuel Turizo",2,223633238
Someone You Loved,Lewis Capaldi,1,2887241814
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,1440757818
Makeba,Jain,1,165484133
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,58054811
Fast Car,Luke Combs,1,157058870
What It Is (Solo Version),Doechii,1,95131998
Coco Chanel,"Bad Bunny, Eladio Carrion",2,250305248
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,685032533
Still With You,Jung Kook,1,38411956
